범죄대분류,범죄중분류,남자(계),남자(정상),남자(정신질환),남자(주취),여자(계),여자(정상),여자(정신질환),여자(주취)
강력범죄,살인기수,193,112,18,63,59,44,6,9
강력범죄,살인미수등,320,151,20,149,61,30,18,13
강력범죄,강도,917,777,30,110,145,124,14,7
강력범죄,강간,3849,2369,32,1448,65,52,4,9
강력범죄,유사강간,673,404,9,260,30,21,0,9
강력범죄,강제추행,12540,6608,302,5630,387,201,36,150
강력범죄,기타 강력범죄,281,189,3,89,9,6,2,1
강력범죄,방화,879,406,103,370,208,73,78,57
절도범죄,절도범죄,65320,57862,1360,6098,23727,20924,1810,993
폭력범죄,상해,32926,16832,353,15741,6474,4143,334,1997
폭력범죄,폭행,80149,43454,752,35943,18341,11911,762,5668
폭력범죄,체포 감금,870,734,3,133,107,99,2,6
폭력범죄,협박,13644,8416,284,4944,1776,1248,160,368
폭력범죄,약취 유인,134,108,8,18,48,41,4,3
폭력범죄,폭력행위등,16216,9261,14,6941,4171,2947,18,1206
폭력범죄,공갈,1987,1863,9,115,327,308,12,7
폭력범죄,손괴,26876,12771,516,13589,4736,2859,584,1293
지능범죄,직무유기,62,62,0,0,15,15,0,0
지능범죄,직권남용,110,109,1,0,21,21,0,0
지능범죄,증수뢰,458,458,0,0,65,65,0,0
지능범죄,통화,27,27,0,0,1,1,0,0
지능범죄,문서 인장,4958,4929,4,25,1963,1931,6,26
지능범죄,유가증권인지,35,35,0,0,8,8,0,0
지능범죄,사기,104007,97928,248,5831,26689,26075,300,314
지능범죄,횡령,16033,15197,191,645,5086,4791,192,103
지능범죄,배임,1860,1858,1,1,411,411,0,0
풍속범죄,성풍속범죄,11221,9679,243,1299,462,387,34,41
풍속범죄,도박범죄,16912,15941,9,962,2492,2445,0,47
기타범죄,특별경제범죄,35792,25904,217,9671,11982,10704,336,942
기타범죄,마약범죄,7622,7253,269,100,3050,2869,146,35
기타범죄,보건범죄,8816,8472,26,318,9236,9074,34,128
기타범죄,환경범죄,3437,3435,0,2,224,224,0,0
기타범죄,교통범죄,190761,90265,218,100278,31061,18010,96,12955
기타범죄,노동범죄,374,373,1,0,106,106,0,0
기타범죄,안보범죄,504,499,1,4,99,95,4,0
기타범죄,선거범죄,679,630,11,38,284,273,8,3
기타범죄,병역범죄,2868,2861,7,0,9,9,0,0
기타범죄,기타범죄,126329,107200,843,18286,42422,39388,826,2208
